5.000000000000000000e+00 4.498947591145833202e-01
6.000000000000000000e+00 4.393601562500000224e-01
7.000000000000000000e+00 4.287626302083333840e-01
8.000000000000000000e+00 4.060263020833333458e-01
9.000000000000000000e+00 3.904086914062500080e-01
1.000000000000000000e+01 3.812902343749999812e-01
1.100000000000000000e+01 3.589458984375000217e-01
1.200000000000000000e+01 3.317607421874999574e-01
1.300000000000000000e+01 3.310097005208333387e-01
1.400000000000000000e+01 2.853730794270833426e-01
1.500000000000000000e+01 2.562528971354166574e-01
1.600000000000000000e+01 2.340930989583333011e-01
1.700000000000000000e+01 2.070029296875000036e-01
1.800000000000000000e+01 1.786077799479166561e-01
1.900000000000000000e+01 1.638797851562500130e-01
2.000000000000000000e+01 1.507069010416666188e-01
2.100000000000000000e+01 1.343102539062499545e-01
2.200000000000000000e+01 1.278300455729166618e-01
2.300000000000000000e+01 1.081182291666666906e-01
2.400000000000000000e+01 1.025414388020833290e-01
2.500000000000000000e+01 1.098466145833333352e-01
2.600000000000000000e+01 8.668567708333330124e-02
2.700000000000000000e+01 6.766754557291665417e-02
2.800000000000000000e+01 5.673531901041661829e-02
2.900000000000000000e+01 3.650136718749996678e-02
3.000000000000000000e+01 3.210026041666669272e-02
3.100000000000000000e+01 3.056337890625004938e-02
3.200000000000000000e+01 1.900901692708334423e-02
3.300000000000000000e+01 1.965983072916666075e-02
3.400000000000000000e+01 1.240664062499996501e-02
3.500000000000000000e+01 8.097363281249991829e-03
3.600000000000000000e+01 6.730143229166651864e-04
3.700000000000000000e+01 6.498697916667017793e-04
3.800000000000000000e+01 6.031901041666509755e-04
3.900000000000000000e+01 5.549804687500214939e-04
